name,symbol,instrument type,exchange,industry
Aqua Bio Technology ASA,ABTEC.OL,Stocks,Oslo,ConsumerGoods
Lokotech Group AS,LOKO.OL,Stocks,Oslo,Technology
Bergen Carbon Solutions AS,BCS.OL,Stocks,Oslo,IndustrialGoods
Gentian Diagnostics ASA,GENT.OL,Stocks,Oslo,ConsumerGoods
Nordic Aqua Partners AS,NOAP.OL,Stocks,Oslo,IndustrialGoods
Hydrogenpro ASA,HYPRO.OL,Stocks,Oslo,Utilities
Hunter Group ASA,HUNT.OL,Stocks,Oslo,Financial
Nordhealth AS,NORDH.OL,Stocks,Oslo,Technology
Western Bulk Chartering AS,WEST.OL,Stocks,Oslo,IndustrialGoods
ContextVision AB,CONTX.OL,Stocks,Oslo,Technology
Arctic Fish Holding AS,AFISH.OL,Stocks,Oslo,ConsumerGoods
Smartoptics Group ASA,SMOP.OL,Stocks,Oslo,Services
MPC Energy Solutions NV,MPCES.OL,Stocks,Oslo,Utilities
Omda AS,OMDA.OL,Stocks,Oslo,Technology
Zalaris ASA,ZAL.OL,Stocks,Oslo,ConsumerGoods
Treasure ASA,TRE.OL,Stocks,Oslo,Financial
Navamedic ASA,NAVA.OL,Stocks,Oslo,ConsumerGoods
Havila Shipping ASA,HAVI.OL,Stocks,Oslo,IndustrialGoods
Arribatec Group ASA,ARR.OL,Stocks,Oslo,Technology
Huddlestock Fintech AS,HUDL.OL,Stocks,Oslo,Technology
Goodtech ASA,GOD.OL,Stocks,Oslo,IndustrialGoods
Golden Energy Offshore Services ASA,GEOS.OL,Stocks,Oslo,IndustrialGoods
PCI Biotech Holding ASA,PCIB.OL,Stocks,Oslo,ConsumerGoods
Norcod AS,NCOD.OL,Stocks,Oslo,ConsumerGoods
Thor Medical ASA,TRMED.OL,Stocks,Oslo,ConsumerGoods
Cyviz AS,CYVIZ.OL,Stocks,Oslo,ConsumerGoods
Skandia Greenpower AS,SKAND.OL,Stocks,Oslo,Utilities
Pryme NV,PRYME.OL,Stocks,Oslo,IndustrialGoods
Kaldvik AS,KLDVK.OL,Stocks,Oslo,ConsumerGoods
Jinhui Shipping and Transportation Ltd,JIN.OL,Stocks,Oslo,IndustrialGoods
Hav Group ASA,HAV.OL,Stocks,Oslo,IndustrialGoods
Akva Group ASA,AKVA.OL,Stocks,Oslo,IndustrialGoods
Fjord Defence Group ASA,DFENS.OL,Stocks,Oslo,IndustrialGoods
Itera ASA,ITERA.OL,Stocks,Oslo,Technology
M Vest Water AS,MVW.OL,Stocks,Oslo,IndustrialGoods
Desert Control AS,DSRT.OL,Stocks,Oslo,BasicMaterials
Tekna Holding ASA,TEKNA.OL,Stocks,Oslo,IndustrialGoods
Ocean Sun AS,OSUN.OL,Stocks,Oslo,Utilities
Havila Kystruten AS,HKY.OL,Stocks,Oslo,ConsumerGoods
Instabank ASA,INSTA.OL,Stocks,Oslo,Financial
Inin Group AS,ININ.OL,Stocks,Oslo,Technology
Pyrum Innovations AG,PYRUM.OL,Stocks,Oslo,IndustrialGoods
Webstep ASA,WSTEP.OL,Stocks,Oslo,Technology
Nordic Halibut AS,NOHAL.OL,Stocks,Oslo,ConsumerGoods
5Th Planet Games A/S,5PG.OL,Stocks,Oslo,Technology
Jaeren Sparebank,JAREN.OL,Stocks,Oslo,Financial
Polaris Media ASA,POL.OL,Stocks,Oslo,Services
Eqva ASA,EQVA.OL,Stocks,Oslo,IndustrialGoods
Aurskog Sparebank,AURG.OL,Stocks,Oslo,Financial
Airthings ASA,AIRX.OL,Stocks,Oslo,IndustrialGoods
Haugesund Sparebank,HGSB.OL,Stocks,Oslo,Financial
River Tech plc,RIVER.OL,Stocks,Oslo,Financial
Nidaros Sparebank,NISB.OL,Stocks,Oslo,Financial
Flekkefjord Sparebank,FFSB.OL,Stocks,Oslo,Financial
Kraft Bank ASA,KRAB.OL,Stocks,Oslo,Financial
Sparebank 68 Grader Nord,SB68.OL,Stocks,Oslo,Financial
Skue Sparebank,SKUE.OL,Stocks,Oslo,Financial
Sogn Sparebank,SOGN.OL,Stocks,Oslo,Financial
Integrated Wind Solutions ASA,IWS.OL,Stocks,Oslo,Utilities
Ads Maritime Holding Plc,ADS.OL,Stocks,Oslo,IndustrialGoods
Petrolia E&P Holdings Plc,PSE.OL,Stocks,Oslo,Utilities
Bien Sparebank ASA,BIEN.OL,Stocks,Oslo,Financial
Melhus Sparebank,MELG.OL,Stocks,Oslo,Financial
Aasen Sparebank,AASB.OL,Stocks,Oslo,Financial
Voss Veksel og Landmandsbank ASA,VVL.OL,Stocks,Oslo,Financial
Grong Sparebank,GRONG.OL,Stocks,Oslo,Financial
Tinde Sparebank,TINDE.OL,Stocks,Oslo,Financial
Matvareexpressen AS,MVE.OL,Stocks,Oslo,ConsumerGoods
CMB Tech NV,CMBTO.OL,Stocks,Oslo,-
