name,symbol,instrument type,exchange,industry
Hill & Smith PLC,HILS.L,Stocks,London,ConsumerGoods
Morgan Advanced Materials PLC,MGAM.L,Stocks,London,Financial
Coats Group PLC,COA.L,Stocks,London,Financial
Dechra Pharmaceuticals PLC,DPH.L,Stocks,London,ConsumerGoods
Marshalls PLC,MSLH.L,Stocks,London,ConsumerGoods
Howden Joinery Group PLC,HWDN.L,Stocks,London,IndustrialGoods
Intu Properties PLC,INTU.L,Stocks,London,Technology
Senior PLC,SNR.L,Stocks,London,IndustrialGoods
OSB Group PLC,OSB.L,Stocks,London,ConsumerGoods
Spectris PLC,SXS.L,Stocks,London,ConsumerGoods
Spirax-Sarco Engineering PLC,SPX.L,Stocks,London,Utilities
TP ICAP PLC,TCAP.L,Stocks,London,IndustrialGoods
James Fisher & Sons PLC,FSJ.L,Stocks,London,Technology
Balfour Beatty PLC,BBY.L,Stocks,London,Technology
Cobham PLC,COB.L,Stocks,London,IndustrialGoods
Rightmove PLC,RMV.L,Stocks,London,Utilities
SIG PLC,SHI.L,Stocks,London,Financial
Synthomer PLC,SYNT.L,Stocks,London,ConsumerGoods
Hays PLC,HAS.L,Stocks,London,Financial
RIT Capital Partners PLC,RCP.L,Stocks,London,BasicMaterials
UNITE Group PLC,UTG.L,Stocks,London,ConsumerGoods
DS Smith PLC,SMDS.L,Stocks,London,Financial
Hunting PLC,HTG.L,Stocks,London,Financial
Hastings Group Holdings PLC,HSTG.L,Stocks,London,IndustrialGoods
Bodycote PLC,BOY.L,Stocks,London,ConsumerGoods
John Laing Group PLC,JLG.L,Stocks,London,Financial
Hansteen Holdings PLC,HSTN.L,Stocks,London,IndustrialGoods
Essentra PLC,ESNT.L,Stocks,London,ConsumerGoods
IG Group Holdings PLC,IGG.L,Stocks,London,BasicMaterials
Dignity PLC,DTY.L,Stocks,London,ConsumerGoods
Rank Group PLC,RNK.L,Stocks,London,ConsumerGoods
Renishaw PLC,RSW.L,Stocks,London,Financial
Playtech Plc,PTEC.L,Stocks,London,ConsumerGoods
Crest Nicholson Holdings plc,CRST.L,Stocks,London,IndustrialGoods
Redrow PLC,RDW.L,Stocks,London,ConsumerGoods
Drax Group PLC,DRX.L,Stocks,London,BasicMaterials
Signature Aviation Plc,SIG.L,Stocks,London,Financial
Computacenter PLC,CCC.L,Stocks,London,Utilities
Sophos Group PLC,SOPH.L,Stocks,London,Financial
Esken Ltd,ESKN.L,Stocks,London,Financial
Inmarsat PLC,ISAT.L,Stocks,London,Financial
Derwent London PLC,DLN.L,Stocks,London,BasicMaterials
Restaurant Group PLC,RTN.L,Stocks,London,BasicMaterials
BMO Commercial Property Trust Ltd,BCPT.L,Stocks,London,Utilities
Polymetal International PLC,POLY.L,Stocks,London,IndustrialGoods
IWG PLC,IWG.L,Stocks,London,Financial
Perpetual Income and Growth Investment T,PLI.L,Stocks,London,ConsumerGoods
Shaftesbury Capital PLC,SHC.L,Stocks,London,Technology
Grafton Group PLC,GFTU.L,Stocks,London,ConsumerGoods
Temple Bar Investment Trust PLC,TMPL.L,Stocks,London,Financial
Clarkson PLC,CKN.L,Stocks,London,Technology
Greggs PLC,GRG.L,Stocks,London,ConsumerGoods
Elementis PLC,ELM.L,Stocks,London,IndustrialGoods
Rathbone Brothers PLC,RAT.L,Stocks,London,ConsumerGoods
Pagegroup PLC,PAGE.L,Stocks,London,Financial
Savills PLC,SVS.L,Stocks,London,BasicMaterials
Phoenix Group Holdings,PHNX.L,Stocks,London,IndustrialGoods
Stagecoach Group PLC,SGC.L,Stocks,London,Financial
Ultra Electronics Holdings PLC,ULE.L,Stocks,London,ConsumerGoods
Mobico Group PLC,MCG.L,Stocks,London,ConsumerGoods
Ascential PLC,ASCL.L,Stocks,London,Financial
Centamin PLC,CEY.L,Stocks,London,Financial
LondonMetric Property PLC,LMP.L,Stocks,London,BasicMaterials
Auto Trader Group PLC,AUTO.L,Stocks,London,IndustrialGoods
Alliance Witan PLC,ALW.L,Stocks,London,ConsumerGoods
esure Group PLC,ESUR.L,Stocks,London,IndustrialGoods
Hochschild Mining PLC,HOC.L,Stocks,London,Financial
Acacia Mining PLC,ACA.L,Stocks,London,Financial
John Wood Group PLC,WG.L,Stocks,London,ConsumerGoods
Genuit Group PLC,GEN.L,Stocks,London,IndustrialGoods
Jardine Lloyd Thompson Group PLC,JLT.L,Stocks,London,Financial
Hikma Pharmaceuticals PLC,HIK.L,Stocks,London,ConsumerGoods
Fidessa Group PLC,FDSA.L,Stocks,London,ConsumerGoods
Currys PLC,CURY.L,Stocks,London,Utilities
HICL Infrastructure Co Ltd,HICL.L,Stocks,London,Financial
FDM Group Holdings PLC,FDM.L,Stocks,London,Financial
Cineworld Group PLC,CINE.L,Stocks,London,Financial
Rotork PLC,ROR.L,Stocks,London,ConsumerGoods
Berkeley Group Holdings PLC,BKG.L,Stocks,London,Financial
Renewables Infrastructure Group Ltd,TRIG.L,Stocks,London,Financial
Evraz PLC,EVR.L,Stocks,London,Financial
Ibstock PLC,IBST.L,Stocks,London,Financial
Man Group PLC,EMG.L,Stocks,London,Financial
Millennium & Copthorne Hotels PLC,MLC.L,Stocks,London,Financial
Zigup PLC,ZIG.L,Stocks,London,ConsumerGoods
Virgin Money Holdings UK PLC,VM.L,Stocks,London,IndustrialGoods
Hiscox Ltd,HSX.L,Stocks,London,ConsumerGoods
Ferrexpo PLC,FXPO.L,Stocks,London,ConsumerGoods
Vesuvius PLC,VSVS.L,Stocks,London,Financial
Greene King PLC,GNK.L,Stocks,London,Financial
UK Commercial Property Trust Ltd,UKCM.L,Stocks,London,Utilities
Lancashire Holdings Ltd,LRE.L,Stocks,London,ConsumerGoods
St Modwen Properties PLC,SMP.L_old,Stocks,London,Utilities
PZ Cussons PLC,PZC.L,Stocks,London,ConsumerGoods
RPC Group PLC,RPC.L,Stocks,London,Financial
Inchcape PLC,INCH.L,Stocks,London,Financial
Domino's Pizza Group PLC,DOM.L,Stocks,London,Financial
Halfords Group PLC,HFD.L,Stocks,London,ConsumerGoods
Moneysupermarket.com Group PLC,MONY.L,Stocks,London,Financial
QinetiQ Group PLC,QQ.L,Stocks,London,Financial
Beazley PLC,BEZ.L,Stocks,London,Financial
Jupiter Fund Management PLC,JUP.L,Stocks,London,ConsumerGoods
Investec PLC,INVP.L,Stocks,London,Financial
City of London Investment Trust PLC,CTY.L,Stocks,London,Financial
Vedanta Resources PLC,VED.L,Stocks,London,ConsumerGoods
