name,symbol,instrument type,exchange,industry
Klea Holding,ALKLH.PA,Stocks,Paris,ConsumerGoods
Waga Energy SA,WAGA.PA,Stocks,Paris,IndustrialGoods
Sidetrade SA,ALBFR.PA,Stocks,Paris,Technology
Crossject SA,ALCJ.PA,Stocks,Paris,ConsumerGoods
Mcphy Energy SA,ALMCP.PA,Stocks,Paris,IndustrialGoods
Nfl Biosciences SAS,ALNFL.PA,Stocks,Paris,ConsumerGoods
Archos SA,ALJXR.PA,Stocks,Paris,Technology
TotalEnergies EP Gabon,EC.PA,Stocks,Paris,Utilities
Tonnellerie Francois Freres SA,TFF.PA,Stocks,Paris,IndustrialGoods
Arcure SA,ALCUR.PA,Stocks,Paris,IndustrialGoods
Cellectis SA,ALCLS.PA,Stocks,Paris,ConsumerGoods
Infotel SA,INF.PA,Stocks,Paris,Technology
Tonner Drones SA,ALTD.PA,Stocks,Paris,IndustrialGoods
Spineway SA,ALSPW.PA,Stocks,Paris,ConsumerGoods
Bastide le Confort Medical SA,BLC.PA,Stocks,Paris,ConsumerGoods
E-Pango SA,ALAGO.PA,Stocks,Paris,Technology
Innate Pharma SA,IPH.PA,Stocks,Paris,ConsumerGoods
NRJ Group SA,NRG.PA,Stocks,Paris,Services
Samse SA,SAMS.PA,Stocks,Paris,ConsumerGoods
Rapid Nutrition PLC,ALRPD.PA,Stocks,Paris,ConsumerGoods
Gensight Biologics SA,SIGHT.PA,Stocks,Paris,ConsumerGoods
LNA Sante SA,LNA.PA,Stocks,Paris,ConsumerGoods
Groupe Okwind SA,ALOKW.PA,Stocks,Paris,Utilities
AB Science SA,AB.PA,Stocks,Paris,ConsumerGoods
Mauna Kea Technologies SA,ALMKT.PA,Stocks,Paris,ConsumerGoods
Wallix Group SA,ALLIX.PA,Stocks,Paris,Services
Delta Plus Group SA,ALDLT.PA,Stocks,Paris,IndustrialGoods
Synergie SE,SDG.PA,Stocks,Paris,ConsumerGoods
Fermentalg SA,ALGAE.PA,Stocks,Paris,ConsumerGoods
Mgi Digital Technology SA,ALMDG.PA,Stocks,Paris,ConsumerGoods
Lumibird SA,LBIRD.PA,Stocks,Paris,ConsumerGoods
Groupe Guillin SA,ALGIL.PA,Stocks,Paris,IndustrialGoods
Covivio Hotels SCA,COVH.PA,Stocks,Paris,Financial
Hoffmann Green Cement Technologies SAS,ALHGR.PA,Stocks,Paris,IndustrialGoods
Biosynex SA,ALBIO.PA,Stocks,Paris,ConsumerGoods
Viel et Compagnie SA,VIL.PA,Stocks,Paris,Financial
Bigben Interactive SA,BIG.PA,Stocks,Paris,ConsumerGoods
Cbo Territoria SA,CBOT.PA,Stocks,Paris,Financial
Electricite de Strasbourg SA,ELEC.PA,Stocks,Paris,Utilities
Chargeurs SA,CRI.PA,Stocks,Paris,ConsumerGoods
Inventiva SA,IVA.PA,Stocks,Paris,ConsumerGoods
Caisse Regionale de Credit Agricole Mutuel Brie Picardie,CRBP2.PA,Stocks,Paris,Financial
Stif France SAS,ALSTI.PA,Stocks,Paris,IndustrialGoods
Ekinops SA,EKI.PA,Stocks,Paris,Services
Nicox SA,ALCOX.PA,Stocks,Paris,ConsumerGoods
Caiss Regio Credi Agric Mutuel Paris Idf,CAF.PA,Stocks,Paris,Financial
Roche Bobois SA,RBO.PA,Stocks,Paris,ConsumerGoods
Boiron SA,BOI.PA,Stocks,Paris,ConsumerGoods
Marie Brizard Wine and Spirits SA,MBWS.PA,Stocks,Paris,ConsumerGoods
Savencia SA,SAVE.PA,Stocks,Paris,ConsumerGoods
IT Link SA,ALITL.PA,Stocks,Paris,Technology
Hydrogen-Refueling-Solutions SA,ALHRS.PA,Stocks,Paris,Utilities
TME Pharma NV,ALTME.PA,Stocks,Paris,ConsumerGoods
AFYREN SA,ALAFY.PA,Stocks,Paris,BasicMaterials
Exel Industries SA,EXE.PA,Stocks,Paris,IndustrialGoods
Abionyx Pharma SA,ABNX.PA,Stocks,Paris,ConsumerGoods
Linedata Services SA,LIN.PA,Stocks,Paris,Technology
Drone Volt SA,ALDRV.PA,Stocks,Paris,IndustrialGoods
Fleury Michon SA,ALFLE.PA,Stocks,Paris,ConsumerGoods
Neovacs SA,ALNEV.PA,Stocks,Paris,ConsumerGoods
Bilendi SA,ALBLD.PA,Stocks,Paris,Services
Cegedim SA,ALCGM.PA,Stocks,Paris,Technology
Capital B,ALCPB.PA,Stocks,Paris,Services
Delfingen Industry SA,ALDEL.PA,Stocks,Paris,ConsumerGoods
Haffner Energy SA,ALHAF.PA,Stocks,Paris,Utilities
Oeneo SA,SBT.PA,Stocks,Paris,IndustrialGoods
Soc D Explosifs Produits Chimiques SA,EXPL.PA,Stocks,Paris,IndustrialGoods
Societe Marseillaise du Tunnel Prado Carenage SA,ALTPC.PA,Stocks,Paris,ConsumerGoods
Burelle SA,BUR.PA,Stocks,Paris,IndustrialGoods
IDI SCA,IDIP.PA,Stocks,Paris,Financial
Entech SA,ALESE.PA,Stocks,Paris,Utilities
Hexaom SA,ALHEX.PA,Stocks,Paris,ConsumerGoods
Amoeba SA,ALMIB.PA,Stocks,Paris,BasicMaterials
Figeac Aero SARL,FGA.PA,Stocks,Paris,IndustrialGoods
Societe Anonyme des Bains de Mer et du Cercle des Etrangers a Monaco SA,BAIN.PA,Stocks,Paris,ConsumerGoods
Riber SA,ALRIB.PA,Stocks,Paris,Technology
Forsee Power SA,FORSE.PA,Stocks,Paris,IndustrialGoods
Bio-UV Group SA,ALTUV.PA,Stocks,Paris,IndustrialGoods
Biophytis SA,ALBPS.PA,Stocks,Paris,ConsumerGoods
Herige SA,ALHRG.PA,Stocks,Paris,IndustrialGoods
Groupe Crit SA,CEN.PA,Stocks,Paris,ConsumerGoods
Keyrus SA,ALKEY.PA,Stocks,Paris,Services
Caisse Reg Credit Agric Mut Nord France,CNDF.PA,Stocks,Paris,Financial
Gerard Perrier Industrie SA,PERR.PA,Stocks,Paris,IndustrialGoods
Energisme SA,ALNRG.PA,Stocks,Paris,Technology
Spineguard SA,ALSGD.PA,Stocks,Paris,ConsumerGoods
Plastiques du Val de Loire SA,PVL.PA,Stocks,Paris,ConsumerGoods
Guillemot Corporation SA,GUI.PA,Stocks,Paris,Technology
Lhyfe SA,LHYFE.PA,Stocks,Paris,Utilities
Moulinvest SA,ALMOU.PA,Stocks,Paris,IndustrialGoods
Sensorion SA,ALSEN.PA,Stocks,Paris,ConsumerGoods
Piscines Desjoyaux SA,ALPDX.PA,Stocks,Paris,ConsumerGoods
Akwel SA,AKW.PA,Stocks,Paris,ConsumerGoods
Lanson BCC SA,ALLAN.PA,Stocks,Paris,ConsumerGoods
Vente-Unique.Com SA,ALVU.PA,Stocks,Paris,Services
Sogeclair SA,ALSOG.PA,Stocks,Paris,IndustrialGoods
Caisse Regionale De Credit Agricole Mutuel Toulouse 31,CAT31.PA,Stocks,Paris,Financial
Freelance.com SA,ALFRE.PA,Stocks,Paris,ConsumerGoods
Haulotte Group SA,PIG.PA,Stocks,Paris,IndustrialGoods
Laurent Perrier SA,LPE.PA,Stocks,Paris,ConsumerGoods
Dont Nod Entertainment SA,ALDNE.PA,Stocks,Paris,Technology
Global Bioenergies SA,ALGBE.PA,Stocks,Paris,Utilities
Touax Sgtr Cite Sgt Cmte Taf Slm Touage Investissements Reunies SCA,ALTOU.PA,Stocks,Paris,IndustrialGoods
Aton SA,ALTAO.PA,Stocks,Paris,ConsumerGoods
Groupe Pizzorno Environnement SA,GPE.PA,Stocks,Paris,IndustrialGoods
Caisse Regionale De Credit Agricole Mutuel Atlantique Vendee,CRAV.PA,Stocks,Paris,Financial
Fonciere Inea SA,INEA.PA,Stocks,Paris,Financial
Groupe LDLC SA,ALLDL.PA,Stocks,Paris,Services
Lacroix Group SA,LACR.PA,Stocks,Paris,IndustrialGoods
Precia SA,ALPM.PA,Stocks,Paris,IndustrialGoods
Transgene SA,TNG.PA,Stocks,Paris,ConsumerGoods
Altamir SCA,LTA.PA,Stocks,Paris,Financial
Immobiliere Dassault SA,IMDA.PA,Stocks,Paris,Financial
Logic Instrument SA,ALLOG.PA,Stocks,Paris,Technology
Calibre,ALIBR.PA,Stocks,Paris,ConsumerGoods
Patrimoine et Commerce SCA,PAT.PA,Stocks,Paris,Financial
Bourse Direct SA,BSD.PA,Stocks,Paris,Services
Xilam Animation SA,ALXIL.PA,Stocks,Paris,ConsumerGoods
Klarsen SA,ALKLA.PA,Stocks,Paris,Services
DBT SA,ALDBT.PA,Stocks,Paris,IndustrialGoods
Hopscotch Groupe SA,ALHOP.PA,Stocks,Paris,Services
Prodways Group SA,ALPWG.PA,Stocks,Paris,Technology
Genoway SA,ALGEN.PA,Stocks,Paris,ConsumerGoods
Caisse Regionale de Credit Agricole Mutuel du Languedoc,CRLA.PA,Stocks,Paris,Financial
Adl Partner SA,DKUPL.PA,Stocks,Paris,ConsumerGoods
Caisse Regionale de Credit Agricole Mutuel de Normandie Seine SC,CCN.PA,Stocks,Paris,Financial
Europacorp SA,ALECP.PA,Stocks,Paris,Services
We. Connect SA,ALWEC.PA,Stocks,Paris,ConsumerGoods
Nextedia SA,ALNXT.PA,Stocks,Paris,Services
Actia Group SA,ALATI.PA,Stocks,Paris,IndustrialGoods
Bassac,BASS.PA,Stocks,Paris,Financial
High Co SA,HCO.PA,Stocks,Paris,ConsumerGoods
Coty Inc,COTY.PA,Stocks,Paris,ConsumerGoods
SRP Groupe SA,SRP.PA,Stocks,Paris,ConsumerGoods
Poujoulat SA,ALPJT.PA,Stocks,Paris,IndustrialGoods
Hydrogene De France SA,HDF.PA,Stocks,Paris,Utilities
Innelec Multimedia SA,ALINN.PA,Stocks,Paris,ConsumerGoods
Maison Pommery & Associes SA,POMRY.PA,Stocks,Paris,ConsumerGoods
Caisse Regionale De Credit Agricole Mutuel Sud Rhone Alpes,CRSU.PA,Stocks,Paris,Financial
Omer Decugis & Cie SA,ALODC.PA,Stocks,Paris,ConsumerGoods
Caisse Reg Cred Agric Mut Tourain Poitou,CRTO.PA,Stocks,Paris,Financial
Osmosun SA,ALWTR.PA,Stocks,Paris,IndustrialGoods
Latecoere SA,LAT.PA,Stocks,Paris,IndustrialGoods
Cogelec SA,ALLEC.PA,Stocks,Paris,Services
Societe de la Tour Eiffel SA,EIFF.PA,Stocks,Paris,Financial
Ateme SA,ATEME.PA,Stocks,Paris,IndustrialGoods
Graines Voltz SA,GRVO.PA,Stocks,Paris,ConsumerGoods
Streamwide SA,ALSTW.PA,Stocks,Paris,Technology
Catering International & Services SA,ALCIS.PA,Stocks,Paris,ConsumerGoods
Credit Agricole du Morbihan SC,CMO.PA,Stocks,Paris,Financial
Adux SA,ALDUX.PA,Stocks,Paris,Services
Compagnie Lebon SA,ALBON.PA,Stocks,Paris,Financial
Agripower France SASU,ALAGP.PA,Stocks,Paris,Utilities
Atari SA,ALATA.PA,Stocks,Paris,Technology
Obiz SA,ALBIZ.PA,Stocks,Paris,Technology
Netgem SA,ALNTG.PA,Stocks,Paris,Services
Artmarket.com SA,PRC.PA,Stocks,Paris,ConsumerGoods
Cr Credit Agricole Mutuel Loire Hte Loir,CRLO.PA,Stocks,Paris,Financial
Boa Concept SA,ALBOA.PA,Stocks,Paris,IndustrialGoods
Miliboo SA,ALMLB.PA,Stocks,Paris,ConsumerGoods
Verimatrix SA,VMX.PA,Stocks,Paris,Technology
Spartoo SA,ALSPT.PA,Stocks,Paris,ConsumerGoods
Sergeferrari Group SA,SEFER.PA,Stocks,Paris,IndustrialGoods
Icape Holding SA,ALICA.PA,Stocks,Paris,IndustrialGoods
Implanet SA,ALIMP.PA,Stocks,Paris,ConsumerGoods
Largo SA,ALLGO.PA,Stocks,Paris,Services
MR Bricolage SA,ALMRB.PA,Stocks,Paris,ConsumerGoods
Caisse regionale de Credit Agricole Mutuel dIlle-et-Vilaine,CIV.PA,Stocks,Paris,Financial
Credit Agricole Alpes Provence,CRAP.PA,Stocks,Paris,Financial
Cogra Quarante Huit SA,ALCOG.PA,Stocks,Paris,IndustrialGoods
Cerinnov Group SA,ALPCV.PA,Stocks,Paris,IndustrialGoods
Oncodesign Precision Medicine Opm SA,ALOPM.PA,Stocks,Paris,ConsumerGoods
Groupe Partouche SA,PARP.PA,Stocks,Paris,ConsumerGoods
Avenir Telecom SA,AVT.PA,Stocks,Paris,ConsumerGoods
Intrasense SA,ALINS.PA,Stocks,Paris,ConsumerGoods
Coheris SA,COH.PA,Stocks,Paris,Technology
M2i SA,ALMII.PA,Stocks,Paris,Technology
Ikonisys SA,ALIKO.PA,Stocks,Paris,ConsumerGoods
Ordissimo SA,ALORD.PA,Stocks,Paris,ConsumerGoods
Enogia SA,ALENO.PA,Stocks,Paris,Utilities
Vogo SA,ALVGO.PA,Stocks,Paris,Services
Dlsi SA,ALDLS.PA,Stocks,Paris,ConsumerGoods
THX Pharma SACA,ALTHX.PA,Stocks,Paris,ConsumerGoods
ALCAF FP,ALCAF.PA,Stocks,Paris,ConsumerGoods
NSE SA,ALNSE.PA,Stocks,Paris,IndustrialGoods
Cofidur SA,ALCOF.PA,Stocks,Paris,IndustrialGoods
Prologue SA,ALPRG.PA,Stocks,Paris,Technology
Passat SA,ALPAS.PA,Stocks,Paris,ConsumerGoods
Hunyvers SA,ALHUN.PA,Stocks,Paris,ConsumerGoods
Deezer SA,DEEZR.PA,Stocks,Paris,Services
Acanthe Developpement SE,ACAN.PA,Stocks,Paris,Financial
Florentaise SA,ALFLO.PA,Stocks,Paris,ConsumerGoods
Hipay Group SA,ALHYP.PA,Stocks,Paris,ConsumerGoods
Paris Realty Fund SA,PAR.PA,Stocks,Paris,Financial
Affluent Medical SAS,AFME.PA,Stocks,Paris,ConsumerGoods
HF Company SA,ALHF.PA,Stocks,Paris,IndustrialGoods
Abeo SA,ABEO.PA,Stocks,Paris,ConsumerGoods
Laboratoires Euromedis SA,ALEMG.PA,Stocks,Paris,ConsumerGoods
Maat Pharma SA,MAAT.PA,Stocks,Paris,ConsumerGoods
Ecomiam SA,ALECO.PA,Stocks,Paris,ConsumerGoods
Winfarm SA,ALWF.PA,Stocks,Paris,ConsumerGoods
Signaux Girod SA,ALGIR.PA,Stocks,Paris,IndustrialGoods
Invibes Advertising NV,ALINV.PA,Stocks,Paris,Services
Mint SA,ALMIN.PA,Stocks,Paris,Services
Egide SA,ALGID.PA,Stocks,Paris,IndustrialGoods
Upergy,ALUPG.PA,Stocks,Paris,Utilities
Ramsay Generale de Sante SA,GDS.PA,Stocks,Paris,ConsumerGoods
Valerio Therapeutics SA,ALVIO.PA,Stocks,Paris,ConsumerGoods
Diagnostic Medical Systems SA,ALDMS.PA,Stocks,Paris,ConsumerGoods
Altheora SA,ALORA.PA,Stocks,Paris,IndustrialGoods
Gascogne SA,ALBI.PA,Stocks,Paris,BasicMaterials
U10 Corp SA,ALU10.PA,Stocks,Paris,ConsumerGoods
EdiliziAcrobatica SpA,ALEAC.PA,Stocks,Paris,ConsumerGoods
Kko International SA,ALKKO.PA,Stocks,Paris,ConsumerGoods
Qwamplify SA,ALQWA.PA,Stocks,Paris,Services
Gaumont SA,GAM.PA,Stocks,Paris,ConsumerGoods
Aurea SA,AURE.PA,Stocks,Paris,IndustrialGoods
Enensys Technologies SA,ALNN6.PA,Stocks,Paris,Services
