name,symbol,instrument type,exchange,industry
Hua Hong Semiconductor Ltd,1347.HK,Stocks,HongKong,BasicMaterials
New Oriental Education & Tec,9901.HK,Stocks,HongKong,BasicMaterials
China CITIC Financial Asse H,2799.HK,Stocks,HongKong,BasicMaterials
Guolian Minsheng Securities H,1456.HK,Stocks,HongKong,BasicMaterials
Zhuzhou CRRC Times Electri H,3898.HK,Stocks,HongKong,BasicMaterials
Huadian Power Intl Corp H,1071.HK,Stocks,HongKong,BasicMaterials
Sinopharm Group Co H,1099.HK,Stocks,HongKong,BasicMaterials
China Railway Signal & Com H,3969.HK,Stocks,HongKong,BasicMaterials
China State Construction Int,3311.HK,Stocks,HongKong,BasicMaterials
Sinotruk Hong Kong Ltd,3808.HK,Stocks,HongKong,BasicMaterials
Zhaojin Mining Industry H,1818.HK,Stocks,HongKong,BasicMaterials
China Resources Gas Group Ltd,1193.HK,Stocks,HongKong,BasicMaterials
China Feihe Ltd,6186.HK,Stocks,HongKong,BasicMaterials
Tianqi Lithium Corp H,9696.HK,Stocks,HongKong,BasicMaterials
SITC International Holdings,1308.HK,Stocks,HongKong,BasicMaterials
Mao Geping Cosmetics Co Ltd,1318.HK,Stocks,HongKong,BasicMaterials
Dongfang Electric Corp Ltd H,1072.HK,Stocks,HongKong,BasicMaterials
Wuxi XDC Cayman Inc,2268.HK,Stocks,HongKong,BasicMaterials
J&T Global Express Ltd,1519.HK,Stocks,HongKong,BasicMaterials
COSCO SHIPPING Energy Transportation Co Ltd,1138.HK,Stocks,HongKong,BasicMaterials
Pharmaron Beijing Co Ltd,3759.HK,Stocks,HongKong,BasicMaterials
Bosideng Intl Hldgs Ltd,3998.HK,Stocks,HongKong,BasicMaterials
Hangzhou Tigermed Consulting Co Ltd,3347.HK,Stocks,HongKong,BasicMaterials
Miniso Group Holding Ltd,9896.HK,Stocks,HongKong,BasicMaterials
